,name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,target
0,./data/samples/hello-world.cpp,2.1154644,2.4797497,2.113932,-2.029481,-2.2469246,-1.1989796,-1.1340109,1.2192118,-1.7647535,-2.238977,-1.2242651,2.5715213,-1.2337061,0.39704147,2.3285105,1.147296,-0.25729623,2.4709718,-1.5749345,1.463836,1.06793,-0.9319137,-0.24711624,-2.3320992,0.013960019,-0.7028216,2.625104,-1.2499144,-1.7894727,0.29745212,-2.0704942,-2.109664,196649,200357,1.0362230290936255e-05,0.0002173557750799061,2.0377118622520327,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
1,./data/samples/loop.cpp,0.03266233,0.038287185,0.032639056,-0.031335134,-0.034692295,-0.018512292,-0.017508982,0.01882456,-0.027247624,-0.034569714,-0.018902648,0.03970407,-0.019048309,0.006130291,0.035951935,0.01771421,-0.003972618,0.038151637,-0.02431702,0.022601457,0.016488837,-0.014388695,-0.003815449,-0.03600786,0.00021554012,-0.010851455,0.040531177,-0.019298682,-0.027629208,0.004592638,-0.0319681,-0.032573078,137,137,0.014705882352941176,0.0,2.0,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
2,./data/samplesV2/bzlib.c,0.50557655,0.5926474,0.5052133,-0.4850344,-0.5369952,-0.2865493,-0.271017,0.29137933,-0.42176232,-0.5351019,-0.29259333,0.61457723,-0.29484928,0.0948918,0.5564928,0.27420047,-0.0614915,0.59054005,-0.37640062,0.34984294,0.25523102,-0.22272241,-0.05905856,-0.55737066,0.0033362943,-0.16797078,0.6273798,-0.2987261,-0.42767024,0.0710898,-0.49483427,-0.5041962,13133,13241,0.00015355217163776698,0.0,2.016447117947156,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
3,./data/cBench_V1.1/automotive_bitcount/src/bitcnt_4.c,0.6147017,0.72056276,0.6142652,-0.5897254,-0.6529063,-0.34839946,-0.32951778,0.35427734,-0.5127976,-0.6505969,-0.35574505,0.7472249,-0.35848683,0.11537145,0.6766119,0.33337918,-0.07476412,0.718008,-0.45764405,0.42535773,0.31031784,-0.2707935,-0.07180613,-0.6776621,0.0040564374,-0.20422336,0.76279396,-0.36319992,-0.51997983,0.0864331,-0.60163516,-0.6130232,3332,3434,0.0006188005072938812,0.0,2.061224489795918,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
4,./data/cBench_V1.1/automotive_bitcount/src/bitcnts.c,0.61597455,0.7220564,0.61553866,-0.5909471,-0.65425944,-0.34912148,-0.3302015,0.3550121,-0.5138628,-0.6519481,-0.35648355,0.7487775,-0.3592297,0.11561051,0.67801476,0.33407196,-0.07491928,0.7194995,-0.45859462,0.4262393,0.31096193,-0.27135396,-0.071955174,-0.6790703,0.004064863,-0.20464721,0.7643777,-0.36395273,-0.5210564,0.08661232,-0.6028852,-0.6142963,3998,4106,0.0005138921725060679,0.0,2.0540270135067535,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
5,./data/cBench_V1.1/automotive_bitcount/src/bitcnt_3.c,0.617671,0.72404253,0.617232,-0.5925751,-0.6560594,-0.350082,-0.33110946,0.35598668,-0.5152741,-0.6537396,-0.35746393,0.75083613,-0.36021993,0.11592896,0.67988235,0.3349893,-0.075125314,0.7214772,-0.4598547,0.42741182,0.31181782,-0.2721014,-0.07215337,-0.6809401,0.004076055,-0.20521034,0.76647776,-0.36495346,-0.5224913,0.08685064,-0.6045426,-0.6159832,3508,3610,0.0005868699154874808,0.0,2.058152793614595,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
6,./data/cBench_V1.1/automotive_bitcount/src/bitstrng.c,0.651782,0.7640228,0.6513182,-0.6252949,-0.6922897,-0.3694153,-0.34939414,0.37564754,-0.54373056,-0.68984497,-0.37720564,0.7922999,-0.38011092,0.12233052,0.7174247,0.35348964,-0.07927411,0.7613177,-0.48524952,0.4510152,0.3290373,-0.2871279,-0.07613792,-0.7185402,0.004301131,-0.21654256,0.80880696,-0.38510844,-0.5513475,0.09164673,-0.63792783,-0.6500019,2843,2945,0.0007289778987267764,0.0,2.0717551881814984,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
7,./data/cBench_V1.1/automotive_bitcount/src/bitarray.c,0.6495228,0.76137847,0.64905894,-0.623128,-0.6898896,-0.3681355,-0.34818292,0.37434402,-0.54184353,-0.6874512,-0.37589785,0.78955215,-0.3787945,0.12190653,0.7149362,0.35226306,-0.07899949,0.758682,-0.48356804,0.44945315,0.32789513,-0.28613344,-0.07587347,-0.7160486,0.004286223,-0.21579152,0.8060009,-0.38377395,-0.54943365,0.091329254,-0.63571614,-0.647748,2860,2962,0.0007244941137910708,0.0,2.071328671328671,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
8,./data/cBench_V1.1/automotive_bitcount/src/bitcnt_2.c,0.655001,0.76779884,0.65453327,-0.62838304,-0.69570893,-0.3712388,-0.35111824,0.37750146,-0.5464157,-0.6932485,-0.37906763,0.7962099,-0.38198665,0.122935146,0.7209692,0.35523576,-0.079665914,0.7650788,-0.48764393,0.45324162,0.33066162,-0.2885461,-0.076513536,-0.72208923,0.004322377,-0.21761121,0.8128008,-0.3870103,-0.5540663,0.09209906,-0.6410757,-0.65320915,2835,2937,0.0007311071531255018,0.0,2.071957671957672,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
9,./data/cBench_V1.1/automotive_bitcount/src/bstr_i.c,0.65331143,0.7658184,0.6528461,-0.62676644,-0.6939148,-0.37028313,-0.3502133,0.3765285,-0.5450036,-0.6914634,-0.3780906,0.79416144,-0.3810038,0.12261821,0.71911114,0.35432065,-0.079460576,0.76310617,-0.48638847,0.45207462,0.32980993,-0.28780234,-0.07631664,-0.7202299,0.0043112254,-0.21705094,0.8107047,-0.38601172,-0.55263925,0.09186212,-0.63942397,-0.6515264,2803,2905,0.0007397498805068395,0.0,2.072779165180164,"separate-const-offset-from-gep,simple-loop-unswitch,sink,speculative-execution,slsr,tailcallelim"
